,Station,Dropout_rate,Kernel_size,Number_of_filters,NSE_val,PBIAS_val,RMSE_val,VE_val,MARE_val,MAE_val,CORR_val,KGE_val,flow_obs_zero,flow_pred_zero,flow_obs_non_zero,flow_pred_non_zero,flow_both_zero,flow_obs_zero_pred_non_zero,flow_both_non_zero,flow_obs_non_zero_pred_zero,prct_true,prct_false,obs_rc_val,pred_rc_val,Model
0,61009000,0.3,20,8,0.774066135997752,1.19271669243226,0.758700470501866,0.988072833075677,288.022634487737,55.8880311861419,0.881098965464978,0.858759375942301,0,0,1826,1826,0,0,1826,0,,,0.479362918921695,0.473645477370385,Hybrid
1,58710000,0.1,10,16,0.540533975022711,1.73618805675776,1.02977557797473,0.982638119432422,426.31419884723,57.0650424876095,0.735638665245219,0.635756418741755,0,0,1826,1826,0,0,1826,0,,,0.451094244199101,0.443262399806594,Hybrid
2,64764000,0.2,15,8,0.470530015924774,8.13753491035549,3.75057303127503,0.918624650896445,1047.48794753408,468.120699005449,0.688701594642706,0.526457975506054,0,0,1826,1826,0,0,1826,0,,,0.615134184784573,0.565077425752198,Hybrid
3,60810000,0.4,5,2,0.546846697659706,-30.7931540186963,0.392992529552886,0.692068459813037,1098.26448237328,544.89500454956,0.899013844296547,0.663435165379578,0,0,1826,1826,0,0,1826,0,,,0.274312552212589,0.358782038908028,Hybrid
4,63250000,0.1,5,16,0.367467398936147,10.698908787816,0.235514308196511,0.893010912121839,206.608709933488,259.476339112035,0.786797917113451,0.568820809531919,0,0,1826,1826,0,0,1826,0,,,0.35572282011477,0.317664360053243,Hybrid
5,55520001,0.1,20,4,0.489165510923947,-32.131762845772,0.240159930537484,0.67868237154228,1165.61653385039,145.040111834769,0.73903835075478,0.527754984327278,0,0,1826,1826,0,0,1826,0,,,0.099073469134228,0.130907521279517,Hybrid
6,65100000,0.1,20,32,0.608605699225234,14.5154708549747,1.49721905788844,0.854845291450252,478.16170214673,727.497270008855,0.806976357717585,0.603029722992,0,0,1826,1826,0,0,1826,0,,,0.576978679692066,0.493227507601946,Hybrid
7,64659000,0.2,5,32,0.461763274326008,20.1785709255854,3.51594847470224,0.798214290744146,1527.03518187431,827.583281810331,0.703084829592552,0.423871933031809,0,1,1826,1825,0,0,1825,1,,,0.489059770307654,0.390374497687619,Hybrid
8,54110002,0.1,10,32,0.726065756939596,-17.4222585477623,0.338236905070448,0.825777414522377,3017.79585038173,95.9522065144054,0.856668530311552,0.749600319715365,0,0,1826,1826,0,0,1826,0,,,0.131204658040472,0.15406347279099,Hybrid
9,50785000,0.5,20,2,0.358925968753074,-8.7846553539796,0.519799583162415,0.912153446460204,2124.63051186843,55.2603732969396,0.606879741002089,0.37490676241663,0,0,1826,1826,0,0,1826,0,,,0.114649439424799,0.124720997543537,Hybrid
10,40050000,0.1,20,32,0.840817912575076,-4.89311959202781,0.713558735062033,0.951068804079722,458.567573339001,144.523622901732,0.919012981813753,0.844388372850889,0,0,1827,1827,0,0,1827,0,,,0.390852037364261,0.409976894980371,Hybrid
11,25130000,0.3,20,4,0.799210636863778,-9.2175063632072,0.685074411344347,0.907824936367928,1877.27466327909,183.765685742681,0.896436220918254,0.831251179106867,0,0,1826,1826,0,0,1826,0,,,0.253560912390169,0.276932905624339,Hybrid
12,45131000,0.4,20,2,0.251889519149868,-29.6237539997712,0.269215199925401,0.703762460002288,668.403548425217,430.521524235645,0.921126220998805,0.615605389510195,0,0,1827,1827,0,0,1827,0,,,0.23007899398387,0.2982370291668,Hybrid
13,33460000,0.5,20,2,0.320448915279909,-10.2936017251881,0.048020793007516,0.897063982748119,229.977914501407,66.8959450444174,0.855251387676481,0.67746981248374,0,0,1826,1826,0,0,1826,0,,,0.119436312501413,0.131730610825559,Hybrid
14,42290000,0.1,10,16,0.905261077048227,12.4693635501228,0.464769744468356,0.875306364498772,540.31503242008,318.920645954474,0.958515077893762,0.858410612252247,0,0,1827,1827,0,0,1827,0,,,0.332790189975205,0.291293371328052,Hybrid
15,45840000,0.5,20,2,-0.261077265335198,-20.4713584861759,0.181223266255418,0.795286415138241,409.919533457186,308.660012261546,0.935918745899646,0.660059494328088,0,0,1826,1826,0,0,1826,0,,,0.258391121820056,0.311287294664291,Hybrid
16,34130000,0.3,20,2,0.549695704415433,-10.136993437975,0.20807717323111,0.89863006562025,355.730409794463,148.056839324788,0.787490550649133,0.71132094145183,0,0,1826,1826,0,0,1826,0,,,0.205715615874427,0.226568994356508,Hybrid
17,60790000,0.5,5,4,0.503364813427648,-22.7576745844676,0.483070355433368,0.772423254155324,735.391912783722,485.267567287417,0.811308083735031,0.680476301804758,0,0,1826,1826,0,0,1826,0,,,0.286044947823532,0.351142126214522,Hybrid
18,24950000,0.5,5,32,0.796755371336478,-9.87698516146858,0.545383049726963,0.901230148385314,761.161502442768,208.096039282628,0.897745131661953,0.834634276650613,0,0,1826,1826,0,0,1826,0,,,0.285534131501834,0.313736295301198,Hybrid
19,22850000,0.1,5,32,0.729293963569648,-0.157403732726308,0.791635351117523,0.998425962672737,495.463783816451,3.98869035634831,0.854084120975709,0.802476337489305,0,0,1827,1827,0,0,1827,0,,,0.306561294035397,0.307043832955303,Hybrid
20,53091000,0.3,20,4,0.232659568014535,20.7446801971356,1.56578633635098,0.792553198028644,2729.36585221129,351.646477808773,0.496480137190531,0.225511496931691,0,0,1826,1826,0,0,1826,0,,,0.26020016814377,0.206222475389936,Hybrid
