,Station,INSC,COEFF,SQ,SMSC,SUB,CRAK,K
0,02231000,4.809011518955231,327.9679298400879,0.8548168838024139,337.89828419685364,-0.02568282186985016,0.6585114002227783,0.1407104641199112
1,02296500,4.1345155239105225,311.1604928970337,1.1177372932434082,378.86860966682434,-0.03727458417415619,0.6865695118904114,0.12491473853588103
2,02361000,4.169088304042816,322.5539207458496,0.9259580075740814,427.0935654640198,0.0980830192565918,0.6157277822494507,0.1870534300804138
3,02472500,2.6013273000717163,300.8495569229126,1.3942041993141174,372.42546677589417,0.1628435105085373,0.7057356834411621,0.3000001072883606
4,02479300,1.0141678899526596,329.12795543670654,1.0058217644691467,392.8217887878418,0.039652906358242035,0.8144602179527283,0.2654601395130157
5,02479560,0.9628356993198395,325.53272247314453,1.0469757914543152,391.8780982494354,0.031717732548713684,0.8163092136383057,0.20987117886543274
6,02481510,2.829732894897461,320.6567049026489,1.1298750936985016,357.29825496673584,0.2283981442451477,0.8003935813903809,0.30000168085098267
7,08013000,3.342704474925995,321.456241607666,1.0417306423187256,307.71058797836304,-0.0545244999229908,0.8870006203651428,0.17199604511260985
8,08014500,2.7036699652671814,325.32799243927,0.9621548652648926,382.6974034309387,-0.01905224472284317,0.8092129230499268,0.23984686732292174
9,08070000,4.221871495246887,310.174560546875,1.1677854359149933,377.42140889167786,0.05733282119035721,0.7966594696044922,0.3002729773521423
10,08070200,4.420912563800812,316.0959720611572,1.0559262335300446,388.4456753730774,0.0186340119689703,0.7952395081520081,0.23055410385131836
11,08164300,4.212965667247772,287.09378242492676,1.629621148109436,350.53908824920654,0.2903749942779541,0.6088011264801025,0.3000004649162292
12,08175000,4.184764921665192,315.27388095855713,1.2210479378700256,395.074337720871,0.08391574025154114,0.5539122223854065,0.3000007152557373
13,08190000,4.520615339279175,232.4850082397461,2.4128201007843018,430.48349022865295,0.16078849136829376,0.2355244755744934,0.1474825143814087
14,08195000,4.104086458683014,241.46592617034912,2.2676217555999756,374.3376433849335,0.18048007786273956,0.49407169222831726,0.03136477544903755
15,08101000,4.199250638484955,286.4542007446289,2.317653000354767,362.8118932247162,0.11782309412956238,0.16772635281085968,0.0776119440793991
16,08171300,1.808885931968689,241.76714420318604,2.0611297488212585,356.0963571071625,0.17993555963039398,0.6544769406318665,0.06887508630752563
17,08189500,4.019148945808411,289.5911931991577,1.6170710921287537,385.843962430954,0.07435069233179092,0.5138034820556641,0.3000092267990112
18,08194200,3.7710359692573547,238.73610496520996,2.4176788330078125,403.05274724960327,0.0488709919154644,0.5711386203765869,0.3000035762786865
19,08064100,3.6596468091011047,299.7800588607788,1.3732000887393951,399.6043801307678,-0.0486626997590065,0.666300892829895,0.23803035020828245
20,08100000,4.466363489627838,287.8770351409912,1.646593987941742,400.89473128318787,-0.021159633994102478,0.4549843966960907,0.05643086582422256
21,08018500,4.695717692375183,295.65632343292236,1.473548412322998,398.0421721935272,-0.04959618300199509,0.6581745743751526,0.08727178573608398
22,08146000,3.9254888892173767,245.161771774292,2.244434952735901,440.8319294452667,-0.020723050460219383,0.09632051736116409,0.046410687267780304
23,08068000,4.668826460838318,290.3789281845093,1.5640037655830383,435.29725074768066,-0.028270086273550987,0.4638887941837311,0.15997264981269835
24,08168500,1.9600456953048706,318.99147033691406,1.078934669494629,472.3416864871979,-0.03505012020468712,0.6163898706436157,0.020287274569272994
25,08180640,3.6608880758285522,304.55355644226074,1.359430879354477,459.47545766830444,-0.03931840881705284,0.46127283573150635,0.06407057493925095
