Station,NSE_HIRNN_MI,NSE_Hybrid_MI,PBIAS_HIRNN_MI,PBIAS_Hybrid_MI,RMSE_HIRNN_MI,RMSE_Hybrid_MI,KGE_HIRNN_MI,KGE_Hybrid_MI,NSE_HIRNN,PBIAS_HIRNN,RMSE_HIRNN,KGE_HIRNN,NSE_Hybrid,PBIAS_Hybrid,RMSE_Hybrid,KGE_Hybrid
Kotni,0.564401314652739,0.748236558449546,-50.4164949227207,-26.5545528622923,1.01745015034905,0.773510464456877,0.453973673837617,0.686254255183705,0.326141985051201,-102.578251703414,1.26547642589777,-0.081009358875024,0.716279865229739,-28.0565489001029,0.82113570899915,0.658707897323178
Baronda,0.388869099141335,0.545711818345639,-28.5617735958283,-1.61591913739632,2.71103456521661,2.33740329719431,0.384443980657455,0.605579856452894,0.376882197469967,-60.1037392093667,2.73749297014047,0.241286761598294,0.451229643689648,-14.9297322809969,2.56899497438633,0.58897640437127
TKHalli,0.406016765229249,0.519268848096503,35.7948403222412,10.4619797376464,0.337765230900549,0.303863811554915,0.349245655966896,0.577052550251218,0.515145530919135,9.55931771454717,0.305164176306389,0.599693390181893,0.56919678753749,5.47070987610397,0.287651944946387,0.675170409881418
Arangali,0.068153279081777,0.189100580555629,56.6543833466402,37.1166565749656,5.20565525695014,4.85608922487827,0.098903199855057,0.116142798371907,0.007805271399279,-2.08126290444761,5.37157471333967,0.225000487933787,0.188873065200689,37.9049852068324,4.8567704174847,0.118027850618698
Jewangi,0.519593494484354,0.545764154556368,17.256693273677,14.6900801895925,1.58457104411966,1.54080605732415,0.598046947536142,0.535580273349016,0.448757223956939,-9.56315600875684,1.69737863415458,0.642269360336537,0.521207139967856,13.7494723003895,1.58190758450097,0.54109392996138
GokakFalls,0.519082931613214,0.526642365459499,-30.112915836011,-27.0602570563834,4.07233619098824,4.04020332206117,0.522503816891967,0.581942090532244,0.31930950686227,-36.5849022425247,4.84488386208942,0.478490721347886,0.464564549654846,-17.8806848851795,4.29696770138207,0.509025638586163
8064100,0.673337603055253,0.731209766039468,-18.8163168255321,2.00549587122499,0.874301085556787,0.793082173341094,0.7522461177593,0.80832491036811,0.499510063948189,-64.8689574028307,1.0822039628315,0.302351451230529,0.719605538988937,-8.30896716486274,0.810020780430378,0.838332983346957
8100000,0.301553466287035,0.549424958249971,-114.619260093339,-82.460182636229,0.251422282023277,0.201939253532207,-0.183199127869277,0.143388723151602,-0.227189569868423,-249.390142675878,0.333267534404046,-1.53324220226887,0.572982250601496,-69.8074613727304,0.196589421361571,0.260954992203044
36020000,-0.040345390345184,0.004222599486414,96.5186773951569,36.8999824397183,0.039131916361388,0.038284543749054,-0.62212972107769,-0.363255793304838,-0.003737781755257,25.7477210512062,0.03843726508703,-0.284296412004686,-0.000347334635681,22.8532706256565,0.03837229306329,-0.33112651873841
38830000,0.230720947568835,0.322605760116286,56.2501455133046,49.6820002220679,0.188624463605953,0.177001445917021,0.059365342785363,0.125844817325055,0.369296391240656,33.7742072228954,0.170792471201741,0.256398242188194,0.326448702195676,53.0378132648133,0.176498656156952,0.105447888219413
36250000,-1.71321069187758,-0.007297917256252,-335.497765915433,-191.18183061256,0.253704330847345,0.154584195094547,-2.47393163395723,-1.04504854173165,-1.72797513293583,-241.425346152222,0.254393683981202,-1.59897883863579,-0.038255621796715,-137.724590626099,0.156941668942826,-0.606738650916308
36125000,-0.316424880658279,-0.05053508913754,36.6319969624005,-19.0518881773249,0.235126304728438,0.210043119166243,0.037781592890214,-0.008616361591662,-0.470349770384512,-161.460312909787,0.248492626541926,-0.902348598921949,-0.019543781205588,-40.9092728020867,0.206921737988634,0.069449701775975
35258000,-38.9184485026104,-4.43152076050927,-293.960593122884,-241.60374272604,0.567078096179838,0.209178366830541,-5.3613894386765,-1.76799662296514,-54.4598470926289,-539.843127029742,0.668413757205019,-7.35352806591911,-5.44502462437899,-249.288502233737,0.227860127719652,-1.91671995824541
35830000,0.333245786176723,0.3333290225925,25.5322527963371,-3.20067173211134,1.27318727942235,1.27310780571884,0.323307750712704,0.363716329181471,0.113984619840096,-25.7853830905382,1.46767547346201,0.267101920921724,0.139277513852651,5.27309738618041,1.44657508511436,0.129383539528672
36210000,-1.7159982863368,0.379520024771545,-152.62529715163,-50.3316664281811,0.575625575774816,0.275130806471119,-0.866341594863636,0.289975301644758,-1.16982781827631,-238.185203934666,0.514503072405901,-1.47588889774885,0.373798879876484,-60.0475826594464,0.276396319852236,0.285763405387613
1159815,0.113398236186177,0.053120685907376,73.2629951479431,77.2671439780485,1.2500459107341,1.2918407584341,-0.081756216946738,-0.141889659568771,0.26560532652506,58.9062530677565,1.13769651408746,0.066129568583613,0.068215038570107,77.4223270363204,1.2815026738987,-0.135074413191771
1160537,-0.169869042978446,0.369220953474503,42.3482476214973,-22.6530304238777,0.131021471681546,0.096208286106814,0.340736179404089,0.494323081098613,0.26070357194446,-92.5718242275861,0.10415572656596,0.00663069728028,0.49271787398639,31.6569447484662,0.086277713885102,0.459015343252081
