,Station,INSC,COEFF,SQ,SMSC,SUB,CRAK,K,Krd
0,75004,1.7357820272445679,321.14975452423096,1.0909439027309418,236.1331582069397,0.14602619409561157,0.8762504458427429,0.30000003576278683,0.08128626346588136
1,27065,1.6672316193580627,283.57884883880615,1.662523090839386,177.40799486637115,0.22015391290187836,0.7044076323509216,0.24526156783103942,0.025082299113273622
2,69027,2.7986764907836914,282.18839168548584,1.6979246735572815,141.84093475341797,0.3070105016231537,0.7216368317604065,0.3000175952911377,0.067301744222641
3,40010,4.831377863883972,274.7493267059326,1.8525996208190918,260.61180233955383,0.08064087480306625,0.9106353521347046,0.3000001072883606,0.10000003576278688
4,52005,2.5755110383033752,275.7284164428711,1.8323725461959839,212.06675469875336,0.15422359108924866,0.7561512589454651,0.1815689206123352,0.06780850887298584
5,40009,1.4278098940849304,259.1900825500488,2.0962969064712524,359.82733964920044,0.26222026348114014,0.656886100769043,0.30001158714294435,0.009998197853565217
6,41005,3.5052716732025146,274.6074676513672,1.836083471775055,231.8970113992691,0.15975862741470337,0.8359065055847168,0.30000014305114747,0.03402594923973084
7,40004,2.992117702960968,290.51194190979004,1.564936637878418,248.51125478744507,0.1158226802945137,0.8377456665039062,0.3000056862831116,0.08217309713363648
8,47011,2.114522308111191,293.87078285217285,1.5321967005729675,230.2025705575943,0.28263670206069946,0.7812833189964294,0.22380323410034178,0.06897650957107544
9,66011,2.9880064725875854,265.38941860198975,2.048154830932617,73.8426074385643,0.36761119961738586,0.751106858253479,0.30000321865081786,0.09542679786682129
10,65006,2.0487071573734283,316.27299785614014,1.165393978357315,72.78188318014145,0.15902021527290344,0.7635524272918701,0.30004312992095944,0.08073676824569703
11,65004,2.33123242855072,316.668176651001,1.1406075954437256,169.98335719108582,0.20115011930465698,0.8515797257423401,0.30000007152557373,0.07380009889602661
12,65007,2.9800620675086975,297.9132652282715,1.4375386834144592,49.99996721744537,0.32753878831863403,0.7384181618690491,0.30000414848327633,0.009996583312749864
13,54080,2.563309669494629,296.0721969604492,1.5065039992332458,63.87336552143097,0.20090089738368988,0.6499470472335815,0.2836605191230774,0.08410063982009888
14,60010,1.7308637499809265,300.9141683578491,1.4042739272117615,63.164032995700836,0.11268006265163422,0.7413725256919861,0.3000179886817932,0.06804091930389404
15,50011,2.499341666698456,264.1109228134155,2.078724503517151,130.5162012577057,0.3124812841415405,0.6490795612335205,0.30001105070114137,0.05976086258888245
16,75003,0.8947461843490601,327.2885799407959,0.9762174189090729,136.152982711792,0.01327644381672144,0.7952724099159241,0.17921542525291442,0.009981902688741684
17,74001,3.1550881266593933,284.9055051803589,1.6936892867088318,49.99895393848419,0.4418540894985199,0.7760233879089355,0.3000005722045898,0.010684887319803238
18,71008,2.9663994908332825,254.75149154663086,2.2452537417411804,49.997489899396896,0.35548195242881775,0.7649059891700745,0.3000031113624573,0.04979020953178406
19,28048,3.4610021114349365,271.2736129760742,1.9309487342834473,156.79875016212463,0.23675136268138885,0.8215658068656921,0.3002108573913574,0.08906286954879761
20,54028,2.2783447802066803,305.0954818725586,1.2991725504398346,92.76356548070908,0.15339648723602295,0.7578323483467102,0.30000014305114747,0.023384135961532593
21,58006,2.58221834897995,282.74245262145996,1.7505093812942505,49.988336861133575,0.40390849113464355,0.7259699702262878,0.3000090837478638,0.0688502311706543
22,40007,3.1425222754478455,284.8620414733887,1.6779529452323914,235.34248769283295,0.1901272088289261,0.8071906566619873,0.3000001072883606,0.06480660438537598
23,45009,2.0626801252365112,292.79723167419434,1.5772504806518555,94.09276396036148,0.11553439497947693,0.699684739112854,0.24391697645187377,0.06496400237083436
24,52006,3.1553250551223755,278.83312702178955,1.7604453563690186,271.68071269989014,0.2592790424823761,0.8822987079620361,0.3000006079673767,0.05958712100982666
