Station,NSE_HIRNN,PBIAS_HIRNN,RMSE_HIRNN,KGE_HIRNN,NSE_Hybrid,PBIAS_Hybrid,RMSE_Hybrid,KGE_Hybrid
Sundergarh,0.514708371793804,15.3701034921262,4.21720269949452,0.466282271933123,0.600283955718769,17.9192087176496,3.8273560595988,0.519451836258457
Mohgaon,0.40266103527958,8.83359642585774,6.71372332203615,0.443261061255215,0.40526843816901,5.10303519254337,6.6990544930195,0.476743803091822
Manot,0.644024542434747,11.8328299046599,3.72467217932739,0.652722547448819,0.676645334968385,10.0529148226471,3.54991203877994,0.700389669520974
Chhidgaon,0.516793819573512,-21.2319010703521,3.60115164031089,0.591067194907156,0.414131352991756,-5.47692875165285,3.96529313147053,0.499664568854796
Belkhedi,0.283397042108325,-10.1572284601326,7.93099309357531,0.415651493560102,0.28388372823664,1.55475339272479,7.92829944022579,0.328452157621804
Patan,0.762341585972017,-12.2515761060629,1.40222972268652,0.826542957617543,0.83210252696246,3.36547726792588,1.17859515399564,0.866856486629118
Anandpur,0.507197727221085,-33.2546400277312,2.85497469900588,0.574649498363608,0.763933816122656,-2.04694890584347,1.97598117393361,0.81681547224436
Mahuwa,0.406004094875052,-23.90647089106,4.42996209432594,0.60908759187937,0.608032014704029,-1.87338809404571,3.59860006059912,0.700844744323837
2231000,0.685442493890275,-48.0556652797131,1.22003487040423,0.366432651155993,0.857726673952964,-15.9398134099055,0.82051015302734,0.775085040394133
2296500,0.525263856981691,-60.1824357736679,0.722943658471615,0.371375353414892,0.744620465752675,-9.5247961358794,0.530238611260331,0.842585453145637
2361000,0.719509063137894,-26.3655832844246,1.02583368294298,0.705373526421226,0.827771182773422,-5.46660117638642,0.803841544668983,0.898381147609
2472500,0.736366288760239,-32.408649238206,1.35086102861592,0.642313063337645,0.859569314681794,-10.5273190889059,0.985918937761262,0.86409299962535
2479300,0.748857577078807,-5.92347160329254,1.55369582339302,0.737679851246103,0.865233706530529,0.493415260960679,1.13814239378301,0.837224387920936
2479560,0.740448431209081,-12.9183425190062,1.59996040172028,0.690015829075905,0.803885676970002,-5.41331843427345,1.39075958474062,0.771691925540975
2481510,0.579304299329606,1.10257473934258,2.97785886757257,0.532999540829358,0.708054633721531,7.5094891461774,2.48068069773018,0.666307395803844
8013000,0.534047740844479,-58.1698944547134,1.5921639822949,0.350538269929618,0.676156900363645,-28.0949679311871,1.3273468029156,0.651078927144178
8014500,0.554036080492464,-40.9916151532657,1.18021886986905,0.53727506507344,0.805312402124722,-18.7637300787999,0.779797494597013,0.790602705124616
8070000,-0.408022638827285,-165.406716690316,1.01955211863108,-0.7695746816344,0.356868831816701,-106.713753500467,0.689055797857706,-0.104231134949879
8070200,-0.32833427899976,-138.93596848018,0.875225104344906,-0.531574601095046,0.534189127924128,-67.4255034894766,0.51828768112025,0.286669132844271
8164300,0.01342161989055,-198.255082868316,1.31908147580335,-1.0769131818794,0.323705328532668,-39.2870075517007,1.09212866776369,0.287237687502865
8175000,0.364938121108176,-159.778808077348,0.735686007781435,-0.635169326210586,0.621271377776813,-42.8154438885433,0.5681310667127,0.533811203003591
8190000,-5.71946059180585,-30.550475503309,0.167260887889017,-1.02187463938502,-7.09208663381363,-211.63508872182,0.183551295498901,-1.50355291272854
8195000,-2.93946796141755,-104.799095069047,0.263305478664946,-0.664492109030862,-1.81630258176358,-190.67935941357,0.222628502937136,-0.973318366279188
53018,0.906036709126298,-0.216030471235464,0.485765492107868,0.947737828229569,0.949980114925327,-4.36919580520452,0.354420550278078,0.945564767970095
54029,0.888647626200405,6.97186671055119,0.533681183499986,0.909910916000531,0.925664061945706,9.72719626981794,0.436045254084414,0.863450112963959
27071,0.821783681569534,18.9830313317315,0.751985743644449,0.762068725285505,0.848914497601484,12.7785931131837,0.692384392849712,0.785447596542625
54008,0.898451161866593,-1.45608044018726,0.522238048971648,0.947254613888826,0.93786414424911,-2.94155290063364,0.408509511473805,0.936810916367426
43007,0.874655526471617,-2.09972309667577,0.558041383603563,0.932809792110601,0.93377640802921,-6.69435471781484,0.40562076347286,0.920024226926319
38001,0.718585135102889,1.82226570496542,0.267162258339467,0.824529789574972,0.881498282096383,3.36869944383142,0.173365993238909,0.855904510475316
39016,0.864029403836318,-3.05820103568934,0.230276830508336,0.886111185025561,0.908148765318792,-9.75187367020279,0.189264970622791,0.880867758992599
42004,0.769352522032091,-3.1921807512215,0.252523841017897,0.744785606231533,0.88668254636732,-8.99275956868101,0.177001291374125,0.889638104476619
72004,0.734278906229314,3.70562415425631,2.29138415739271,0.764927654581658,0.840829691734993,2.2012424124052,1.77343762857456,0.872338572373626
78003,0.817878804267113,6.35632137060296,1.51424774970074,0.855865428876478,0.882780553585888,-1.01933585019852,1.2148328398591,0.903064441716446
62001,0.892242908700392,18.4041132930474,1.02999492626767,0.780306436590139,0.920902321652113,11.8633841131262,0.882457957400468,0.810933807352986
