,Station,INSC,COEFF,SQ,SMSC,SUB,CRAK,K,Krd,L,LS
0,Kotni,3.3098098635673523,331.7389249801636,0.8196471333503723,379.08217310905457,0.19378593564033508,0.5981168150901794,0.30000014305114747,0.07426812052726746,0.06339404582977295,3.8591796159744263
1,Baronda,3.044480085372925,306.69682025909424,1.5530422925949097,264.0606462955475,0.19595764577388763,0.6424105763435364,0.30000053644180297,0.062167304754257205,0.0009999007917940617,1.4667537808418274
2,TKHalli,1.1510907113552094,276.9304037094116,1.8480674028396606,347.37226366996765,0.2797682285308838,0.7581629753112793,0.1953013300895691,0.050007504224777226,0.0009999459609389306,7.323850989341736
3,Arangali,4.430429637432098,363.48564624786377,0.40842828154563904,436.2960457801819,0.3698418140411377,1.0000005960464478,0.09528521597385406,0.06714733839035035,0.09541180729866028,10.000016689300537
4,Jewangi,2.0718595385551453,227.12440490722656,2.1801976561546326,329.0874660015106,0.4998881220817566,0.6970386505126953,0.30000078678131104,0.06646584868431092,0.10000053644180298,1.7808608710765839
5,GokakFalls,1.9470247626304626,343.1734561920166,0.7143535315990448,207.1787267923355,0.18659691512584686,0.3908527195453644,0.30000003576278683,0.10000152587890626,0.03291784524917603,0.655762329697609
