,Station,Dropout_rate,Kernel_size,Number_of_filters,NSE_val,PBIAS_val,RMSE_val,VE_val,MARE_val,MAE_val,CORR_val,KGE_val,flow_obs_zero,flow_pred_zero,flow_obs_non_zero,flow_pred_non_zero,flow_both_zero,flow_obs_zero_pred_non_zero,flow_both_non_zero,flow_obs_non_zero_pred_zero,prct_true,prct_false,obs_rc_val,pred_rc_val,Model
0,403209A,0.1,15,16,0.930586823630112,6.21328460521139,0.447728299321306,0.937867153947886,1038.97407830565,114.128821675415,0.965387914203874,0.918169675149837,0,186,1826,1640,0,0,1640,186,,,0.296613976218118,0.278184505696853,Hybrid
1,419005,0.2,10,32,0.622576048254136,16.0700674103369,0.608488665787753,0.839299325896631,,74.1393411737676,0.804399628035661,0.570792618649034,16,254,1810,1572,3,13,1559,251,18.75,81.25,0.115219656025906,0.096703779632585,Hybrid
2,604053,0.5,20,16,0.7593877710187,-20.18655168724,0.098004834619363,0.7981344831276,5710.24514809371,28.7503523364011,0.878063093162781,0.75923450053504,0,499,1826,1327,0,0,1327,499,,,0.040804786559329,0.049041865888996,Hybrid
3,223202,0.1,10,32,0.439718923396311,7.43684588078378,0.614342896987636,0.925631541192162,inf,32.1073279792662,0.762570250512957,0.338083454671648,1,25,1825,1801,0,1,1800,25,0,100,0.10036422520533,0.092900292457367,Hybrid
4,222206,0.1,20,32,0.7095375962115,-5.23966434489913,0.597108779462841,0.947603356551009,1299.15614522371,41.2969066079681,0.86216634730814,0.647182074735191,0,156,1826,1670,0,0,1670,156,,,0.159144660302472,0.167483306325151,Hybrid
5,308145,0.3,15,32,0.802592902103635,-3.66658244027735,2.4797916101981,0.963334175597227,684.425866769271,298.180109515792,0.898739180756014,0.886506236229087,0,23,1826,1803,0,0,1803,23,,,0.690263490714581,0.715572570656767,Hybrid
6,405219,0.1,20,16,0.825089863109635,24.2519382322909,0.594771067432577,0.757480617677091,991.285702730242,457.948974521069,0.934141254132802,0.682420434533825,0,276,1827,1551,0,0,1551,276,,,0.344345082827456,0.26083472603421,Hybrid
7,307473,0.1,20,32,0.846986674465451,10.0094778876,2.56950181506031,0.899905221124,636.678584973534,1005.17070185269,0.929521984969801,0.790115037755832,0,0,1826,1826,0,0,1826,0,,,0.905006603640799,0.814420167768053,Hybrid
8,410731,0.2,20,32,0.353182396222444,23.5401523761932,0.864034063616506,0.764598476238068,,112.340052190451,0.598770252322939,0.355092313261748,32,255,1794,1571,26,6,1565,229,81.25,18.75,0.102213777362127,0.07815249842162,Hybrid
9,224213A,0.1,15,32,0.597618694775782,13.1211280072235,0.576989858256997,0.868788719927765,1251.02356819111,112.14458427446,0.810359715902107,0.518122543268887,0,7,1827,1820,0,0,1820,7,,,0.187184224921578,0.162623543160288,Hybrid
