,Station,INSC,COEFF,SQ,SMSC,SUB,CRAK,K,L
0,33035,3.7560755014419556,200.0,3.0,376.6656517982483,0.021348796784877777,0.9534087181091309,0.04547615200281143,0.045448979735374456
1,33020,3.9899498224258423,251.84834003448486,2.1751567125320435,98.82710874080658,0.0679735541343689,0.6016173362731934,0.30000003576278683,0.10000002384185791
2,39035,2.6838865876197815,266.10236167907715,1.980377733707428,348.02699089050293,0.014079072512686253,0.8074513077735901,0.03293899744749069,0.10000057220458985
3,33053,4.17142778635025,247.0778226852417,2.29230397939682,377.70912051200867,0.043254535645246506,0.5694292187690735,0.07900397479534149,0.10000003576278688
4,39114,3.785719573497772,262.95249462127686,1.971720278263092,429.556280374527,-5.307225769968227e-10,0.18756800889968872,0.004042124468833208,0.10000015497207643
5,41023,1.369791030883789,291.6398525238037,1.5236166715621948,420.60911655426025,-2.6246249618111506e-10,0.558383047580719,0.01962486729025841,0.10000013113021851
6,39120,0.8363816142082214,286.45029067993164,1.6633633375167847,484.9001169204712,0.02534632943570614,0.706872284412384,0.002797725610435009,0.10000013113021851
7,39125,4.144608676433563,269.39780712127686,1.8377301692962646,500.0554323196411,-3.870126441540833e-10,0.40619760751724243,0.0028426816686987874,0.1000001072883606
8,39099,0.9863667190074921,273.02985191345215,1.781822919845581,86.40623837709427,-6.259620599635696e-11,0.7306151390075684,0.052975282073020935,0.0009996240958571434
9,29009,3.8868680596351624,204.0609836578369,2.9820374250411987,178.23217809200287,0.07883541285991669,0.9444658756256104,0.10099183022975922,0.10000054836273194
10,36009,4.0807342529296875,260.9646797180176,2.223487079143524,106.30490630865097,0.21413040161132812,0.7282162308692932,0.30000250339508056,0.10000164508819581
11,39017,3.7922626733779907,233.4731101989746,2.6206313967704773,153.89712154865265,0.22158128023147583,0.7381697297096252,0.30000150203704834,0.10000057220458985
12,30014,3.7249383330345154,251.86684131622314,2.219119369983673,143.88233423233032,0.22239796817302704,0.7532997727394104,0.300001323223114,0.022581930458545688
13,26006,0.4999810457229614,290.17207622528076,1.546134889125824,49.99813437461853,-1.8326041754335165e-05,0.9634666442871094,0.03311218321323395,0.0009989202953875065
14,31023,3.734438419342041,179.31815385818481,2.284111797809601,160.6874018907547,0.35220807790756226,0.7328302264213562,0.3000004291534424,0.1000001072883606
