,Station,INSC,COEFF,SQ,SMSC,SUB,CRAK,K
0,Kotni,3.860437572002411,331.0473918914795,0.8161457777023315,500.0067353248596,0.09393587708473206,0.5107822418212891,0.30000025033950806
1,Ghatora,3.9389535784721375,359.1026544570923,0.4515257030725479,466.04788303375244,0.10057395696640015,0.7099294066429138,-0.0327686570584774
2,Baronda,3.399685025215149,312.39726543426514,1.201878547668457,345.2983498573303,0.1431458443403244,0.48955243825912476,0.3000001788139343
3,Bamnidhi,2.945399284362793,323.04718494415283,1.045363426208496,406.77207708358765,0.10377348214387894,0.7818626761436462,0.0056405503302812575
4,Sundergarh,2.6710084080696106,314.931845664978,1.1842893362045288,500.0094175338745,0.18123571574687958,0.7506787180900574,0.3
5,Salebhata,3.5164499282836914,306.0568332672119,1.0098950564861298,500.00113248825073,0.14032433927059174,0.6392064690589905,0.3000005006790161
6,TKHalli,2.5996381044387817,281.2732458114624,1.77353435754776,397.39835262298584,0.1064910814166069,0.42216938734054565,0.062291125953197475
7,Mohgaon,2.0698565244674683,271.5435266494751,2.4403197169303894,307.46331810951233,0.315212607383728,0.5584681034088135,0.24626904129981994
8,Manot,2.7633169293403625,281.9568872451782,1.7785438299179077,295.4893410205841,0.34840577840805054,0.6112315654754639,0.3001112580299377
9,Chhidgaon,4.2262303829193115,326.45487785339355,1.3456479012966156,424.6370196342468,0.5125815272331238,0.7787444591522217,0.3000912308692932
10,Belkhedi,2.506256401538849,218.96939277648926,2.2190576791763306,264.672726392746,0.31426453590393066,0.6767181158065796,0.18913448452949524
11,Patan,3.3775126934051514,331.5207004547119,0.8481304943561554,500.02384185791016,0.08117769658565521,0.6519865393638611,0.2672769963741302
12,Murappanadu,3.9702168107032776,232.17413425445557,2.188712418079376,372.35066294670105,0.1112511157989502,0.42450839281082153,0.3001363277435303
13,Tilga,0.8840999007225037,281.39965534210205,1.722798764705658,366.36242270469666,0.38992905616760254,0.7497262954711914,0.21398202180862427
14,Savandapur,2.573375403881073,307.1690559387207,1.3574626743793488,447.0248520374298,0.04314729943871498,0.379462867975235,0.0028157416731119157
15,KMVadi,2.2197918593883514,285.3173017501831,1.5159453749656677,192.08194315433502,0.09508621692657471,0.9337166547775269,0.3000783920288086
16,Adityapur,3.064095675945282,293.29674243927,1.7289699912071228,343.6748683452606,0.28767144680023193,0.7267433404922485,0.30011501312255856
17,Arangali,3.8764768838882446,366.2559509277344,0.37754957377910614,444.5079565048218,0.26443445682525635,0.8546745777130127,0.005084485933184624
18,Anandpur,2.3009690642356873,305.85951805114746,1.2918871343135834,352.9784679412842,0.19277845323085785,0.9098914265632629,0.30006301403045654
19,MHHalli,1.8717393279075623,245.11375427246094,2.5047969818115234,292.84319281578064,0.08612573891878128,0.6968740820884705,0.2689602434635162
20,Ambarampalayam,3.2581472396850586,380.7741641998291,2.5872427225112915,355.81836104393005,0.14917075634002686,0.3506373465061188,0.3000168800354004
21,Kudige,3.215932548046112,330.5267095565796,0.7169552743434906,114.09790813922882,0.31079283356666565,0.5491823554039001,0.3000925898551941
22,PaleruBridge,2.2700005769729614,336.3971471786499,0.8410948812961578,421.9701290130615,0.25352397561073303,0.6796520352363586,0.00853637047111988
23,Jewangi,2.791089713573456,223.7687110900879,2.1291759610176086,369.00508403778076,0.2619028389453888,0.3959957957267761,0.17858355045318602
24,GokakFalls,2.9666131734848022,318.5087203979492,1.1122258007526398,339.1982614994049,0.11305060237646103,0.46651530265808105,0.3000497817993164
25,Mahuwa,1.6056744754314423,255.57823181152344,2.2226187586784363,341.40545129776,0.31942662596702576,0.6206762790679932,0.20482762455940245
