,Station,INSC,COEFF,SQ,SMSC,SUB,CRAK,K
0,1159673,1.3816116750240326,199.99850988388062,2.9999776482582092,356.0704290866852,0.22323349118232727,0.7327508926391602,0.14539525508880616
1,1160527,3.893105983734131,233.3650827407837,2.4982325434684753,414.06285762786865,0.03318281099200249,0.0461234375834465,0.04980473220348358
2,1160530,3.993067443370819,213.13440799713135,2.791817307472229,435.0900650024414,0.04642210528254509,0.03654858469963074,0.05227571278810501
3,1159305,3.765382468700409,199.997079372406,2.99995619058609,424.70839619636536,0.019997550174593925,0.02324254810810089,0.04467426985502243
4,1159811,0.743986964225769,199.99319314956665,2.9998978972434998,353.64240407943726,0.12216245383024216,1.0000005960464478,-0.04311436414718628
5,1160709,2.78324156999588,255.6406021118164,2.0615973472595215,500.0234842300415,0.021927647292613983,0.2581549882888794,0.030149969458580016
6,1196445,1.4333246648311615,292.04676151275635,1.6038848161697388,457.4727416038513,0.17158764600753784,0.411683052778244,0.24553838968276975
7,1160723,0.5073248967528343,223.9957094192505,2.6398882269859314,421.11366987228394,0.11935856938362122,0.7910091876983643,0.05757142156362533
8,1159815,4.180982708930969,247.79901504516602,2.2741373777389526,500.0112056732178,0.043687351047992706,0.42498013377189636,0.09782023429870605
9,1160304,0.49996253103017807,271.4373826980591,1.9020177125930786,49.99550059437752,0.1084015965461731,0.9499626159667969,0.300006365776062
10,1160537,4.3785518407821655,260.8358383178711,2.0889042019844055,500.00250339508057,0.04521608352661133,0.12184879928827286,0.13323740065097808
