Station,NSE_HIRNN_MP,NSE_Hybrid_MP,PBIAS_HIRNN_MP,PBIAS_Hybrid_MP,RMSE_HIRNN_MP,RMSE_Hybrid_MP,KGE_HIRNN_MP,KGE_Hybrid_MP,NSE_HIRNN,PBIAS_HIRNN,RMSE_HIRNN,KGE_HIRNN,NSE_Hybrid,PBIAS_Hybrid,RMSE_Hybrid,KGE_Hybrid
Ghatora,0.291125496337442,0.55213125094481,-48.9852568522153,10.2201061454997,1.98475104106504,1.57759942816079,0.093385981374902,0.567752860459573,0.260014953845233,-55.9318709194163,2.0278360152389,0.037518194397715,0.550050427340707,8.3608207169721,1.58125998949378,0.570150477128262
Bamnidhi,0.232326880386545,0.434139298261829,5.87083206681922,41.1938358281279,2.8808150406461,2.47332949041668,0.140249281759765,0.260991300556891,0.242187069220297,-8.26324383790949,2.86225428765943,0.174731813961274,0.493615593436775,36.2237898428835,2.33973876589167,0.354883997685779
Murappanadu,0.477621636328938,0.493050105118247,53.5917692267538,35.5031288390322,0.7422461629292,0.731202873645135,0.231224915354607,0.327025483007407,0.477663831627799,56.6522521035254,0.742216184724384,0.21360635607707,0.498947752306744,30.8390159710744,0.726937173809249,0.363873759667845
Savandapur,-0.398892852003639,0.110076236561751,11.3899675949209,-4.17301058049451,0.415571831196994,0.331459353063692,0.163345927590287,0.100426060594567,-1.03444455643811,7.01475854454534,0.501160467697381,0.104400355748726,0.100549483751952,-2.34431068422869,0.333228788493237,0.143152644516553
Adityapur,0.442027033681472,0.783106697937422,-61.2911124840349,-27.8887776590582,3.51068849359102,2.18881364385923,0.284338542201298,0.700388510113842,0.426649534584418,-59.3358248515854,3.55873624507901,0.295579941002799,0.78255432938725,-27.6243356423947,2.1915990296157,0.702961354425223
MHHalli,-2.14209230861481,-0.405663638903512,-102.28578151262,-138.048701414745,2.18193544020947,1.45939593423261,-0.484530337212049,-0.748285707293285,-4.16572378142888,-77.3512097136838,2.79767986126771,-0.626347570874221,-0.40455235450023,-142.793098174324,1.45881893822811,-0.800266788129628
Ambarampalayam,-1.22359956536339,0.037559665017421,63.1846414694232,32.3460541099935,1.38572903571882,0.911668469055065,0.021986149648943,0.192871176162656,-1.75857513627179,67.2142484371978,1.54344953945614,-0.133477283430057,0.099622445505236,23.3326518461752,0.881784289248044,0.224654413348498
Kudige,0.175748201168863,0.330030868841419,21.8597386555539,-8.16384151209912,6.19626861420851,5.58634407456542,0.404263919140588,0.441646701030999,0.083278289808026,37.2583498158361,6.53460052144673,0.331776187154745,0.329151017105601,6.66187621227096,5.59001106579484,0.43265976276089
PaleruBridge,0.534899507172813,0.654981721649243,-22.1595972396766,35.4328694375886,0.729291752303058,0.628129158122354,0.504082090348218,0.55910539601707,0.458365199325182,-18.452502871801,0.787011688569816,0.569306239830432,0.644175218838661,36.7058738058371,0.637890299315365,0.559615404578902
8018500,0.456599242913501,0.732697731177928,-104.315170290041,-20.9588755621927,0.809796913522213,0.567959437082638,-0.084467940238379,0.739759863149033,0.488046707583998,-97.1093904837145,0.78601560398618,0.004851883054221,0.745701509392901,-20.6046691519213,0.553972095049731,0.754676305268475
8146000,-2.34099834939182,0.492039380446913,-50.4540424570458,-25.8796154727978,0.477631551656898,0.186238686292933,-0.200028854417838,0.587972802191325,-4.28399573639475,-47.7508493095843,0.600670227759714,-0.569141019578773,0.479665497463146,-18.2752381441295,0.188493417925376,0.676652457915458
8068000,-0.204123322676533,0.810407675367454,-58.1594898326028,-2.19506286765871,4.42979137603381,1.75775428348359,0.154394556845464,0.852624101655134,-1.11816139091828,-57.8794973810696,5.87526301137872,-0.008414805441262,0.739677805482038,2.76195249364563,2.05969724223371,0.788455321537494
8168500,-2.09713493074886,0.588006839412727,-177.961238223174,-21.3703699186552,0.715534481425885,0.260972957445634,-0.997397492737219,0.607033945570693,0.266448988926499,-78.2888205719853,0.348229583949328,0.161356316633646,0.589758548387473,-28.2515012765068,0.260417565176442,0.643025742079438
8180640,-4.1886078417132,-0.870682347704993,-239.920499392577,-106.125440790584,0.322869039268207,0.193865710719255,-1.7771219506909,-0.25495445020526,-8.62518563883794,-272.945479374439,0.439749682708658,-2.54979116520144,-1.17192441179014,-112.696141971532,0.20889273251434,-0.359544344777193
75004,0.86847794168172,0.924224534270281,-11.5427388143005,-3.48193212987397,1.69336809083665,1.28533513868818,0.862397414662522,0.913386440799661,0.842390942409065,-10.6394242145737,1.85371369932654,0.868622603417635,0.92161470335548,-2.53131958125443,1.30728228618805,0.908940367227853
27065,0.745499454534803,0.894042185057128,-17.9682486498298,0.408025617584824,1.15423950745933,0.744762967026103,0.7860238314517,0.91667700710691,0.726691633805744,-17.8412808687767,1.19612905411818,0.78078833465273,0.894041848393411,0.446172121003381,0.744764150206738,0.918711006841004
69027,0.766331660236221,0.864249213752915,11.451252968497,-4.59750335088487,1.13553931217108,0.865512639356468,0.819271655353877,0.905889668195175,0.768488304845196,11.8944893001787,1.13028692832201,0.837518997412691,0.862896587332082,-4.98451855108929,0.869813953076668,0.912956405389641
40010,0.644058847504086,0.811547899452485,-44.0703203539919,-14.1018064749231,0.755096113644876,0.54943158908367,0.512512679133208,0.824401749969184,0.642551011901639,-41.9408350043149,0.75669379004688,0.533533292374766,0.807218270052723,-15.4225174730095,0.555707259766428,0.815631390724563
52005,0.774264282808135,0.881378221804105,-9.38440079053312,-6.36840505745921,0.893722202617826,0.647865154009091,0.855386259344568,0.906645570959362,0.76672672815496,-8.67746481168744,0.908520846800188,0.856807769995097,0.880387013451218,-6.37333191376043,0.650566316643017,0.906865636105702
