Station,NSE_HIRNN_UI,NSE_Hybrid_UI,PBIAS_HIRNN_UI,PBIAS_Hybrid_UI,RMSE_HIRNN_UI,RMSE_Hybrid_UI,KGE_HIRNN_UI,KGE_Hybrid_UI,NSE_HIRNN,PBIAS_HIRNN,RMSE_HIRNN,KGE_HIRNN,NSE_Hybrid,PBIAS_Hybrid,RMSE_Hybrid,KGE_Hybrid
Salebhata,0.564587006383121,0.607566457457995,-17.8968422110595,-5.02142589841549,1.72417536894839,1.63686854995381,0.601746215362529,0.735017869734879,0.548840988863445,-31.7246610582494,1.75507452344904,0.525026103794451,0.611648414153896,-4.33524011973816,1.62833322899596,0.726926146174547
Tilga,0.663269327162499,0.694507255898522,7.63459265104963,16.5311502307604,1.73610531022058,1.65361794344535,0.802731458800059,0.682654805231777,0.66108075076716,7.17959530115156,1.74173806887537,0.803759795095604,0.694583774870474,16.5116979007506,1.65341083366634,0.682876602524183
8101000,0.723872858876706,0.820605416975572,-18.0532349184491,-14.6140971837768,0.631572832117448,0.509065369816948,0.71207323365257,0.812900458771417,0.777797490870668,-57.459951120655,0.566556688717625,0.403807895933458,0.838060619066999,-21.1866004961169,0.48366552116693,0.750783595947613
8171300,0.09194166466005,0.410683240953594,-160.586503895006,-63.3505486203297,0.94586285025268,0.761983714848855,-0.69268978116898,0.194705603235482,0.039378175699071,-207.249849789929,0.972853662776803,-1.14298375886488,0.405857566180015,-61.4656644689943,0.765097141252052,0.203335467349245
8189500,0.366057081576426,0.67609675409444,-139.02483416706,-15.5643283624781,0.458564860372923,0.327780674474872,-0.425607148789192,0.769648893197044,0.329002249842136,-175.062985905813,0.471776415609918,-0.777511619267454,0.66373758573892,-22.8695868580009,0.333975691571157,0.715647731922169
33035,0.602948779115356,0.657024857490805,-5.06791099767277,-5.68170422300311,0.158514218014321,0.147324941494084,0.745601452074182,0.783389578747012,0.578657656580131,-10.0230884411693,0.163291097456546,0.717664344165673,0.64480374116646,-7.41467625853941,0.149926756672068,0.782369550341578
33020,0.639861368225209,0.729900319057302,-33.4909979806349,-6.67170019465435,0.339660441058756,0.29415223304035,0.573441576380307,0.840748557966165,0.436171449498283,-81.4547364652488,0.424994828841647,0.137056276992594,0.662257439977291,-19.1865927193441,0.328929639858592,0.675536988102264
39035,0.480582433550667,0.777799605797022,-26.7620743827905,9.21524318086704,0.414603868130309,0.271173624281407,0.659134579531247,0.816808048849165,0.357586227991025,-40.7047659703981,0.461086550491743,0.543581672232586,0.774535736307165,8.84501758051202,0.273157978966901,0.812868671712915
33053,0.514066915025243,0.802772893461238,-3.62400253614484,-4.19884972280314,0.211497910955443,0.134741429052137,0.70737926484076,0.879860707557794,0.456377355401726,-30.1784182038578,0.22370032596242,0.521341236150916,0.81422581915373,-2.46621507561299,0.130770723025635,0.866747371882139
39114,0.264944180342897,0.885643966978339,-89.4988489442656,-7.56868855818916,0.291327572795847,0.114908186614974,0.096786322936115,0.821791279125241,-0.179268862156586,-118.925351785539,0.369001257391651,-0.198888988067134,0.839403205287071,-4.50187566090192,0.136172643014451,0.758708960437113
41023,-0.337461855379261,0.825965570691358,-172.291183748678,-28.1119602961657,1.17366623275297,0.42337137793489,-0.746127590733771,0.68191797365683,-0.549877977080102,-188.94587567465,1.26343429416853,-0.911066688075069,0.826062902394329,-28.2337925383198,0.423252972569725,0.680938215298226
39120,-25.0093719598094,0.778235675344284,-946.783592648328,2.44699580267766,1.13709248320548,0.104996953216708,-8.50342197532958,0.785075923510282,-29.5077976677429,-1032.17196307781,1.23150529805761,-9.3543006692354,0.78757889397303,0.691501658413754,0.102761323422182,0.780968145913428
39125,-3.23974715554218,0.737982367651077,-273.441233143806,-15.1801959326077,0.298937031851245,0.074314746096163,-1.73940509064232,0.641215437507047,-7.12300381445882,-373.743990563061,0.413778640089467,-2.77876994649366,0.488944643048539,-63.2740615752013,0.103787179985343,0.349159051625479
39099,0.591329515923045,0.72568852722818,27.0955624958496,14.9373521094033,1.42864025605392,1.17046446528287,0.464899790205128,0.63473917526995,0.591480648020292,27.0504995903233,1.42837606598862,0.465162871144857,0.725905598320806,14.8970435940339,1.17000126138945,0.63509455784783
29009,0.749610702636441,0.823908025967947,-4.62448072573326,9.3257448230235,0.312705588369357,0.262239158659389,0.779949014068522,0.812169569130049,0.709343623137887,-16.9346117803463,0.336912938594471,0.683282846107714,0.819225526464306,7.82244628749999,0.265702912274622,0.816159479805236
36009,0.682671672356101,0.766510965125281,-8.5076452081045,1.08005657928954,0.607987893643888,0.521523346904715,0.760604519894163,0.850016517357772,0.611076064690281,-21.7548293242074,0.673089546718316,0.641039308093004,0.732918738620597,5.16153922638362,0.557779077223114,0.786685293365888
39017,0.619769682622191,0.690848448402738,-37.0296943044274,-8.23781528027735,0.549455457526997,0.495444299266646,0.566470971007779,0.797475786420948,0.577672917926252,-57.1394743916524,0.579073360560959,0.370255806451795,0.694423186108309,-10.7902787819455,0.492571544771483,0.806432564728578
30014,0.555524370943821,0.661559600312834,10.4224973269545,17.2216780882969,0.586895515311835,0.512127284095064,0.617303573256874,0.674599799894857,0.554356989843098,6.2701060586752,0.587665727913942,0.62351104039761,0.662494262165593,16.7855057989742,0.511419631029046,0.678965308047372
31023,0.527876819582836,0.632554581655355,-59.7954794347791,-39.4291792983852,0.753018690016788,0.664315693021989,0.341227217289267,0.567756651170111,0.487642597497018,-79.9807624224546,0.784448796727384,0.147578324004556,0.622794365262035,-43.4807597072678,0.673080764560771,0.529917495537228
