gauge_id,warm_up_cal_start,warm_up_cal_end,cal_start,cal_end,warm_up_val_start,warm_up_val_end,val_start,val_end,area_km2
404207,1989-01-01,1991-12-31,1992-01-01,2001-12-31,2002-01-01,2004-12-31,2005-01-01,2009-12-31,454.7
606185,1978-01-01,1980-12-31,1981-01-01,1990-12-31,1991-01-01,1993-12-31,1994-01-01,1998-12-31,379.4
