Date,Pptn,PET,cum_effective_storage_mm,cum_designed_spill_cap_mm,cum_res_cat_area_km2,streamflow_mm
1985-01-01,0.102988515898587,2.6698923,467.9791632,141.1986209,1372.75435466,0.452716548723468
1985-01-02,0.0,2.602331,467.9791632,141.1986209,1372.75435466,0.3578907851394983
1985-01-03,0.0,2.7029343,467.9791632,141.1986209,1372.75435466,0.3242429335451865
1985-01-04,0.996742063315442,2.6712694,467.9791632,141.1986209,1372.75435466,0.3211840379457036
1985-01-05,0.0,2.8001401,467.9791632,141.1986209,1372.75435466,0.3578907851394983
1985-01-06,0.0,2.7742164,467.9791632,141.1986209,1372.75435466,0.3854208455348443
1985-01-07,0.0,2.7396681,467.9791632,141.1986209,1372.75435466,0.3701263675374299
1985-01-08,0.0,2.7349405,467.9791632,141.1986209,1372.75435466,0.339537411542601
1985-01-09,0.0,2.7528572,467.9791632,141.1986209,1372.75435466,0.3456552027415668
1985-01-10,1.4993493748943527,2.4499545,467.9791632,141.1986209,1372.75435466,0.3487140983410496
1985-01-11,0.7918903359131642,2.4886022,467.9791632,141.1986209,1372.75435466,0.3487140983410496
1985-01-12,0.0301238393866754,2.280043,467.9791632,141.1986209,1372.75435466,0.3487140983410496
1985-01-13,0.0244109639842548,2.6890788,467.9791632,141.1986209,1372.75435466,0.3334196203436352
1985-01-14,0.0,2.496855,467.9791632,141.1986209,1372.75435466,0.3334196203436352
1985-01-15,0.0,2.8375509,467.9791632,141.1986209,1372.75435466,0.3456552027415668
1985-01-16,0.0,2.865599,467.9791632,141.1986209,1372.75435466,0.3334196203436352
1985-01-17,0.0,2.7861772,467.9791632,141.1986209,1372.75435466,0.3334196203436352
1985-01-18,0.0,2.9018354,467.9791632,141.1986209,1372.75435466,0.3487140983410496
1985-01-19,0.0,2.8102398,467.9791632,141.1986209,1372.75435466,0.3334196203436352
1985-01-20,0.0,2.8496807,467.9791632,141.1986209,1372.75435466,0.3273018291446694
1985-01-21,0.0,2.9217422,467.9791632,141.1986209,1372.75435466,0.3181251423462207
1985-01-22,0.0,2.8362608,467.9791632,141.1986209,1372.75435466,0.3211840379457036
1985-01-23,0.0,2.9474726,467.9791632,141.1986209,1372.75435466,0.2936539775503576
1985-01-24,0.0,3.023514,467.9791632,141.1986209,1372.75435466,0.2875361863513918
1985-01-25,0.0,3.0384448,467.9791632,141.1986209,1372.75435466,0.2875361863513918
1985-01-26,0.0,3.0442321,467.9791632,141.1986209,1372.75435466,0.3058895599482891
1985-01-27,0.0,3.0755968,467.9791632,141.1986209,1372.75435466,0.3058895599482891
1985-01-28,0.0,3.0808008,467.9791632,141.1986209,1372.75435466,0.3242429335451865
1985-01-29,0.0,3.0997884,467.9791632,141.1986209,1372.75435466,0.2997717687493234
1985-01-30,0.0,3.0825865,467.9791632,141.1986209,1372.75435466,0.2997717687493234
1985-01-31,0.0,3.0712578,467.9791632,141.1986209,1372.75435466,0.2936539775503576
1985-02-01,0.0,3.0681999,467.9791632,141.1986209,1372.75435466,0.2691828127544945
1985-02-02,0.0,3.1718664,467.9791632,141.1986209,1372.75435466,0.2905950819508747
1985-02-03,0.0,3.216292,467.9791632,141.1986209,1372.75435466,0.3273018291446694
1985-02-04,0.0,3.166809,467.9791632,141.1986209,1372.75435466,0.2936539775503576
1985-02-05,0.0,3.1120598,467.9791632,141.1986209,1372.75435466,0.2875361863513918
1985-02-06,0.0,3.054471,467.9791632,141.1986209,1372.75435466,0.2905950819508747
1985-02-07,0.0,2.899167,467.9791632,141.1986209,1372.75435466,0.2753006039534602
1985-02-08,0.0,3.091687,467.9791632,141.1986209,1372.75435466,0.2844772907519089
1985-02-09,0.0,2.9180727,467.9791632,141.1986209,1372.75435466,0.2691828127544945
1985-02-10,0.0,3.089816,467.9791632,141.1986209,1372.75435466,0.3273018291446694
1985-02-11,0.0,3.100475,467.9791632,141.1986209,1372.75435466,0.3150662467467378
1985-02-12,0.0,3.1793427,467.9791632,141.1986209,1372.75435466,0.2875361863513918
1985-02-13,0.0,3.14315,467.9791632,141.1986209,1372.75435466,0.2783594995529431
1985-02-14,0.0,3.2372682,467.9791632,141.1986209,1372.75435466,0.2905950819508747
1985-02-15,0.0,3.1285577,467.9791632,141.1986209,1372.75435466,0.2905950819508747
1985-02-16,0.0,3.2912652,467.9791632,141.1986209,1372.75435466,0.2753006039534602
1985-02-17,0.0,3.4176588,467.9791632,141.1986209,1372.75435466,0.3181251423462207
1985-02-18,0.0,2.8575757,467.9791632,141.1986209,1372.75435466,0.2844772907519089
1985-02-19,0.0,1.9319824,467.9791632,141.1986209,1372.75435466,0.2997717687493234
1985-02-20,0.0,3.3867292,467.9791632,141.1986209,1372.75435466,0.3150662467467378
1985-02-21,0.0,3.4224448,467.9791632,141.1986209,1372.75435466,0.2844772907519089
1985-02-22,0.0,3.5345151,467.9791632,141.1986209,1372.75435466,0.2936539775503576
1985-02-23,0.0,3.4779036,467.9791632,141.1986209,1372.75435466,0.2875361863513918
1985-02-24,0.0,3.4718437,467.9791632,141.1986209,1372.75435466,0.2630650215555286
1985-02-25,0.0,3.5365226,467.9791632,141.1986209,1372.75435466,0.2844772907519089
1985-02-26,0.0,3.5756202,467.9791632,141.1986209,1372.75435466,0.2875361863513918
1985-02-27,0.0,3.6363451,467.9791632,141.1986209,1372.75435466,0.2936539775503576
1985-02-28,0.0,3.637229,467.9791632,141.1986209,1372.75435466,0.2936539775503576
1985-03-01,0.0,3.599558,467.9791632,141.1986209,1372.75435466,0.2753006039534602
1985-03-02,0.0,3.6199262,467.9791632,141.1986209,1372.75435466,0.2753006039534602
1985-03-03,0.5219626093540461,3.6424158,467.9791632,141.1986209,1372.75435466,0.3058895599482891
1985-03-04,0.0,3.6730382,467.9791632,141.1986209,1372.75435466,0.2936539775503576
1985-03-05,0.0,3.7770045,467.9791632,141.1986209,1372.75435466,0.2753006039534602
1985-03-06,0.0,3.733297,467.9791632,141.1986209,1372.75435466,0.2844772907519089
1985-03-07,0.0,3.7921298,467.9791632,141.1986209,1372.75435466,0.3181251423462207
1985-03-08,0.0,3.83227,467.9791632,141.1986209,1372.75435466,0.2753006039534602
1985-03-09,0.0,3.8055925,467.9791632,141.1986209,1372.75435466,0.3487140983410496
1985-03-10,0.0,3.884183,467.9791632,141.1986209,1372.75435466,0.3487140983410496
1985-03-11,0.0,3.8693192,467.9791632,141.1986209,1372.75435466,0.2844772907519089
1985-03-12,0.0,3.8736985,467.9791632,141.1986209,1372.75435466,0.281418395152426
1985-03-13,0.0,3.6829512,467.9791632,141.1986209,1372.75435466,0.308948455547772
1985-03-14,0.0,3.5086412,467.9791632,141.1986209,1372.75435466,0.3058895599482891
1985-03-15,0.0,3.7112386,467.9791632,141.1986209,1372.75435466,0.2508294391575971
1985-03-16,0.0,3.7153597,467.9791632,141.1986209,1372.75435466,0.2691828127544945
1985-03-17,0.0,3.3633451,467.9791632,141.1986209,1372.75435466,0.3334196203436352
1985-03-18,0.0,3.5392463,467.9791632,141.1986209,1372.75435466,0.2997717687493234
1985-03-19,0.0,3.8425407,467.9791632,141.1986209,1372.75435466,0.3120073511472549
1985-03-20,0.0,3.76267,467.9791632,141.1986209,1372.75435466,0.2905950819508747
1985-03-21,0.0,4.0473084,467.9791632,141.1986209,1372.75435466,0.2875361863513918
1985-03-22,1.291839164803683,3.749519,467.9791632,141.1986209,1372.75435466,0.2661239171550115
1985-03-23,1.589879731753825,3.115808,467.9791632,141.1986209,1372.75435466,0.2783594995529431
1985-03-24,0.0,3.8663354,467.9791632,141.1986209,1372.75435466,0.2569472303565629
