Date,Pptn,PET,cum_effective_storage_mm,cum_res_cat_area_km2,streamflow_mm
1994-01-01,19.25,0.77,39.5409754272172,16.589986,12.5
1994-01-02,3.36,0.09,39.5409754272172,16.589986,9.04
1994-01-03,12.75,0.23,39.5409754272172,16.589986,8.01
1994-01-04,26.3,0.43,39.5409754272172,16.589986,13.47
1994-01-05,16.18,0.19,39.5409754272172,16.589986,14.98
1994-01-06,8.48,0.21,39.5409754272172,16.589986,10.26
1994-01-07,0.3,0.0,39.5409754272172,16.589986,8.13
1994-01-08,3.41,0.28,39.5409754272172,16.589986,7.72
1994-01-09,15.97,0.0,39.5409754272172,16.589986,12.39
1994-01-10,6.04,0.16,39.5409754272172,16.589986,8.48
1994-01-11,16.88,0.65,39.5409754272172,16.589986,9.22
1994-01-12,12.59,0.0,39.5409754272172,16.589986,17.03
1994-01-13,3.16,0.77,39.5409754272172,16.589986,8.35
1994-01-14,6.64,0.93,39.5409754272172,16.589986,6.47
1994-01-15,8.16,0.15,39.5409754272172,16.589986,7.88
1994-01-16,0.22,0.48,39.5409754272172,16.589986,5.59
1994-01-17,0.0,0.55,39.5409754272172,16.589986,4.7
1994-01-18,9.44,0.48,39.5409754272172,16.589986,5.3
1994-01-19,3.3,0.37,39.5409754272172,16.589986,4.61
1994-01-20,1.88,0.0,39.5409754272172,16.589986,4.34
1994-01-21,5.54,0.49,39.5409754272172,16.589986,4.1
1994-01-22,15.43,0.08,39.5409754272172,16.589986,4.81
1994-01-23,10.56,0.0,39.5409754272172,16.589986,8.36
1994-01-24,21.52,0.0,39.5409754272172,16.589986,15.52
1994-01-25,4.68,0.05,39.5409754272172,16.589986,13.69
1994-01-26,1.74,1.41,39.5409754272172,16.589986,7.07
1994-01-27,8.18,0.01,39.5409754272172,16.589986,7.32
1994-01-28,3.46,0.59,39.5409754272172,16.589986,5.74
1994-01-29,7.49,0.0,39.5409754272172,16.589986,6.16
1994-01-30,0.25,0.45,39.5409754272172,16.589986,5.73
1994-01-31,1.27,0.54,39.5409754272172,16.589986,4.47
1994-02-01,11.79,0.06,39.5409754272172,16.589986,6.2
1994-02-02,21.61,0.83,39.5409754272172,16.589986,8.42
1994-02-03,16.98,0.02,39.5409754272172,16.589986,16.7
1994-02-04,4.96,0.9,39.5409754272172,16.589986,8.63
1994-02-05,3.5,0.39,39.5409754272172,16.589986,6.64
1994-02-06,7.03,0.0,39.5409754272172,16.589986,7.05
1994-02-07,1.63,0.54,39.5409754272172,16.589986,5.56
1994-02-08,5.1,0.49,39.5409754272172,16.589986,5.27
1994-02-09,0.0,0.46,39.5409754272172,16.589986,4.45
1994-02-10,11.12,0.56,39.5409754272172,16.589986,4.9
1994-02-11,2.11,0.0,39.5409754272172,16.589986,5.35
1994-02-12,0.02,0.67,39.5409754272172,16.589986,3.85
1994-02-13,0.17,0.78,39.5409754272172,16.589986,3.24
1994-02-14,3.92,0.39,39.5409754272172,16.589986,2.67
1994-02-15,0.31,0.54,39.5409754272172,16.589986,2.4
1994-02-16,0.15,0.11,39.5409754272172,16.589986,3.23
1994-02-17,7.57,0.42,39.5409754272172,16.589986,3.36
1994-02-18,5.19,0.05,39.5409754272172,16.589986,4.16
