Date,Pptn,PET,streamflow_mm
1989-01-01,0.04018488,8.14361082,0.1793675
1989-01-02,6.7988582,7.76802621,0.16744579
1989-01-03,3.38586191,8.41723775,0.16698263
1989-01-04,0.09695487,2.70326269,0.14904113
1989-01-05,7.00886358,5.99554114,0.15679503
1989-01-06,0.0,7.23132149,0.19788058
1989-01-07,0.0,7.8709626,0.17809655
1989-01-08,0.0,8.64975556,0.14215395
1989-01-09,0.0,8.47085395,0.12582824
1989-01-10,0.09717238,6.32283858,0.11297053
1989-01-11,0.73556281,5.31908654,0.10607367
1989-01-12,0.01848831,7.41990219,0.10273367
1989-01-13,0.0,7.4012508,0.10114735
1989-01-14,0.0,7.99380107,0.10337409
1989-01-15,0.00054377,8.80342594,0.09544469
1989-01-16,0.0,8.23023393,0.08643237
1989-01-17,1.0235998,4.86601422,0.07899076
1989-01-18,2.06530728,4.33083201,0.08489136
1989-01-19,0.0,7.9903753,0.09291533
1989-01-20,0.0,6.5811855,0.0902395
1989-01-21,0.0,7.70560092,0.08117704
1989-01-22,0.0,8.41734655,0.0728377
1989-01-23,0.0,9.57221333,0.06627777
1989-01-24,0.0,7.95611749,0.0604194
1989-01-25,0.0,8.52381741,0.05544095
1989-01-26,0.0,8.93447546,0.04921795
1989-01-27,0.0,9.97384472,0.04619617
1989-01-28,0.0,10.44801534,0.04390037
1989-01-29,0.0,10.25323567,0.04011612
1989-01-30,0.30010876,9.10538348,0.03651594
1989-01-31,0.0,8.07862978,0.03268529
1989-02-01,0.0,8.30032643,0.02877766
1989-02-02,0.0,8.59488871,0.02634308
1989-02-03,0.0,7.32626438,0.02476358
1989-02-04,0.0,7.54980985,0.02312316
1989-02-05,0.0,8.8896684,0.02065806
1989-02-06,0.0,8.47411653,0.01851018
1989-02-07,0.0,6.92419806,0.01735346
1989-02-08,0.0,9.07286581,0.01807174
1989-02-09,1.82920068,6.34513337,0.01795351
1989-02-10,0.54980969,5.82365429,0.01711504
1989-02-11,0.00054377,5.96693862,0.01696626
1989-02-12,0.0,8.40168593,0.01776826
1989-02-13,0.00179445,8.5567158,0.01845008
1989-02-14,5.04121818,5.13713979,0.01879098
1989-02-15,3.161664,7.49146292,0.02404047
1989-02-16,0.0,7.17819473,0.02749967
1989-02-17,0.0,8.2170747,0.02839037
1989-02-18,0.00413268,9.29081054,0.02680207
1989-02-19,0.0663404,7.91903234,0.02155562
1989-02-20,0.0,7.44361085,0.01708252
1989-02-21,0.0,6.13518225,0.01464794
1989-02-22,0.0,7.55617195,0.01375331
1989-02-23,0.0,8.06073976,0.01313064
1989-02-24,0.0,8.69559564,0.01244882
1989-02-25,0.0,7.16688429,0.01089408
1989-02-26,0.0,7.75818393,0.01135419
1989-02-27,0.0,8.00000012,0.0117079
1989-02-28,0.0,7.90092452,0.01084777
1989-03-01,0.0,8.96742816,0.0097419
1989-03-02,0.0,9.8721589,0.00936593
