Date,Pptn,PET,streamflow_mm
1978-04-26,0.060591797,3.522663122,0.00819982
1978-04-27,0.505110968,2.486146656,0.00813392
1978-04-28,2.737458015,3.447478194,0.00716136
1978-04-29,0.0,2.348755906,0.005933
1978-04-30,15.78628131,1.588433104,0.00604114
1978-05-01,2.07807671,2.012373925,0.00718242
1978-05-02,0.115601884,2.296233984,0.00638637
1978-05-03,8.501008969,2.269737731,0.00737741
1978-05-04,2.904236751,1.917014103,0.00922768
1978-05-05,0.07074647,3.107263068,0.01869839
1978-05-06,0.0,4.243241666,0.01977567
1978-05-07,0.839004732,2.700538043,0.01765704
1978-05-08,6.775521318,1.265568295,0.01775986
1978-05-09,2.777807728,1.899999976,0.01795156
1978-05-10,0.066846,1.488231335,0.0166636
1978-05-11,0.0,2.915601932,0.01533471
1978-05-12,0.0,3.577740485,0.01396389
1978-05-13,0.0,2.038668498,0.01348166
1978-05-14,17.54862174,1.833086787,0.01479657
1978-05-15,11.64411578,1.493813045,0.0200213
1978-05-16,4.645729762,1.484465363,0.04279415
1978-05-17,0.031540014,1.656018867,0.08478861
1978-05-18,0.198991263,1.856893091,0.08560332
1978-05-19,16.16523217,1.431943495,0.07401977
1978-05-20,3.974848771,1.497713517,0.05998208
1978-05-21,13.63557524,1.509482181,0.07041645
1978-05-22,5.226429153,1.800538052,0.10237797
1978-05-23,1.282178914,1.992064575,0.1327098
1978-05-24,2.021788859,0.917014141,0.11269162
1978-05-25,0.271553468,1.517619372,0.09416473
1978-05-26,36.54552844,1.217686669,0.09963627
1978-05-27,29.47518573,1.209549478,0.41899578
1978-05-28,7.750369975,1.840147982,0.66019504
1978-05-29,0.850235388,2.010423694,0.94451502
1978-05-30,15.67740444,1.409549407,0.70127833
1978-05-31,0.496839286,1.140551479,0.39576436
1978-06-01,1.733624758,1.949966375,0.27060095
1978-06-02,0.604909221,1.070410239,0.21304244
1978-06-03,6.64613331,1.341223974,0.30633368
1978-06-04,17.79549477,1.346200438,0.48122826
1978-06-05,8.394351345,0.791459324,0.35157354
1978-06-06,3.530060602,1.319838654,0.38094623
1978-06-07,16.01089464,1.891324819,0.5694175
1978-06-08,4.791728439,1.04411568,0.74992093
1978-06-09,19.93833249,0.985339615,0.79724829
1978-06-10,2.294351067,0.902084756,1.3275962
1978-06-11,8.048352571,1.098924032,1.18542172
1978-06-12,0.062273034,2.040551488,0.9261729
1978-06-13,0.001008742,2.700000048,0.67651819
1978-06-14,0.885406878,0.920174873,0.50615709
1978-06-15,3.974848777,1.265030322,0.50523985
1978-06-16,10.40685959,0.906052472,0.74269373
1978-06-17,0.050571621,1.569065248,0.63965735
1978-06-18,0.013113652,2.290517806,0.50384291
1978-06-19,2.868056532,1.036987232,0.40066421
1978-06-20,4.231271038,1.438332207,0.38182393
1978-06-21,16.92763978,1.2537324,0.47805219
1978-06-22,4.884734475,0.5,0.94951502
1978-06-23,14.38574332,0.681237386,1.95021086
1978-06-24,2.271553493,0.672427714,1.67754349
1978-06-25,5.556758662,1.120376626,2.22287823
1978-06-26,1.92407536,1.040349707,2.79976278
1978-06-27,13.54223283,1.418829841,2.22837111
1978-06-28,0.354135848,1.051176878,1.61234581
1978-06-29,33.83113764,1.03167452,1.48993938
1978-06-30,10.87612668,0.816408893,4.28732209
1978-07-01,34.60625493,1.165702797,8.87074328
1978-07-02,1.85763286,0.815870897,8.52351081
1978-07-03,10.64747829,1.478278408,7.08408013
1978-07-04,0.0,0.853261625,4.0542699
1978-07-05,0.0,1.056556839,2.68215604
1978-07-06,0.001008742,1.863550808,1.97906431
1978-07-07,0.0,2.011297945,1.50511597
1978-07-08,0.172158712,1.670679261,1.1954059
1978-07-09,0.105379962,1.240349755,0.97683184
1978-07-10,0.0,1.316879665,0.81905377
1978-07-11,0.0,1.31701416,0.7097048
1978-07-12,7.788164221,1.069266997,0.64246178
1978-07-13,0.02945528,1.375588443,0.68081181
1978-07-14,13.06852757,1.36186957,0.75330785
1978-07-15,2.168527241,1.4724277,1.35585134
1978-07-16,2.965837332,1.696032326,1.28855825
1978-07-17,2.409818462,1.857162091,1.58798366
1978-07-18,6.206254383,1.348486917,1.89739589
1978-07-19,4.731338325,1.887962328,2.23496046
1978-07-20,54.61620797,0.400000006,3.70743279
1978-07-21,49.80417018,1.093342322,9.04496574
1978-07-22,4.029724399,0.999529254,12.74681075
1978-07-23,8.186953695,1.716072681,11.17630469
1978-07-24,0.962273057,1.102084759,8.29095941
1978-07-25,4.760390162,1.639408238,6.82129678
1978-07-26,2.959852097,0.840349719,7.51180812
1978-07-27,20.71620724,1.230464063,6.9295203
1978-07-28,0.004303968,1.685339654,5.09802319
1978-07-29,0.168661738,1.456556815,3.61926726
1978-07-30,1.209414943,1.421856067,2.80316289
1978-07-31,1.266375272,1.65151315,2.43594096
1978-08-01,3.282044427,1.183254919,2.34678176
1978-08-02,0.399193011,1.200000048,2.14370322
1978-08-03,0.0,3.103833353,1.92395361
1978-08-04,0.063954272,1.500941493,1.60954929
1978-08-05,6.430262304,2.180497713,1.30543226
1978-08-06,0.54209819,1.444384654,1.19730364
1978-08-07,0.770813732,1.379354411,1.19570638
1978-08-08,0.0,2.274108976,1.15157617
1978-08-09,0.0,2.15514465,0.99683184
1978-08-10,1.162138558,1.526496308,0.86530838
1978-08-11,0.538332217,1.66018833,0.78505535
1978-08-12,0.432952265,1.411230664,0.7329204
1978-08-13,0.001008742,2.989576382,0.70883764
1978-08-14,0.0,3.245191666,0.66350026
1978-08-15,0.0,3.870948269,0.60447285
1978-08-16,0.0,2.697579068,0.55707696
1978-08-17,0.000470746,1.898991245,0.51629151
1978-08-18,0.096234031,1.538870218,0.47600685
1978-08-19,0.0,1.876395468,0.44489457
1978-08-20,0.038601211,2.356489609,0.42640485
1978-08-21,2.356556856,1.811163467,0.41026885
1978-08-22,0.0,4.103295172,0.39928835
1978-08-23,0.157229325,2.330598535,0.39411703
1978-08-24,25.98305345,2.402690071,0.53525303
1978-08-25,0.0,1.735171527,1.56801529
1978-08-26,0.57041023,2.510087447,1.32080917
1978-08-27,0.0,3.15951589,1.11633105
1978-08-28,0.897915288,1.563147291,0.81705588
1978-08-29,5.41600545,2.837928722,0.74145493
1978-08-30,0.479018172,2.626967165,0.78962045
1978-08-31,0.024949563,2.456825865,0.68272799
1978-09-01,0.031271016,2.824277054,0.58342646
1978-09-02,0.542232695,2.19731007,0.51249868
1978-09-03,2.089576363,2.100470889,0.54198208
1978-09-04,14.36092838,3.690786876,0.68808118
1978-09-05,2.49959654,2.468863527,0.92696099
1978-09-06,0.0,2.496166782,1.02258039
1978-09-07,0.0,3.350100898,0.86513969
1978-09-08,0.013113652,3.973369225,0.70784924
1978-09-09,15.87653031,2.188634894,0.5720427
1978-09-10,2.704909237,1.217148641,0.80963627
1978-09-11,27.80147979,2.208944222,2.1178466
1978-09-12,5.211096229,3.026361846,2.5959884
1978-09-13,0.374983196,3.004505752,2.56154191
1978-09-14,0.0,3.817417625,2.30754613
1978-09-15,8.400538121,2.855346346,1.60395888
1978-09-16,2.402757271,2.532212554,1.15636795
1978-09-17,0.333893751,2.400269093,1.05163416
1978-09-18,5.917619439,3.553261677,1.11982604
1978-09-19,28.0407535,1.526698056,1.03655772
1978-09-20,3.964895861,2.242098192,2.17016342
1978-09-21,7.761802452,2.528244829,2.99106484
1978-09-22,0.398184264,2.693745851,2.9989457
1978-09-23,2.171149975,2.622461426,2.52130733
1978-09-24,2.99206462,1.700000048,1.88701107
1978-09-25,12.07827864,3.412508476,1.63321297
1978-09-26,2.920712908,3.094418426,1.57979705
1978-09-27,0.05749832,4.601479487,1.38111228
1978-09-28,0.001008742,5.208608185,1.13649974
1978-09-29,0.0,4.047545349,0.88869267
1978-09-30,5.804707495,1.77410901,0.73027412
1978-10-01,12.40618715,2.609953059,1.59706906
1978-10-02,6.995292636,3.323739093,3.27351081
1978-10-03,3.245258952,2.852252885,3.53160253
1978-10-04,0.091190317,3.939879008,3.1727728
1978-10-05,0.594821798,3.652320182,2.33400369
1978-10-06,0.0,3.137256314,1.59936742
1978-10-07,0.0,4.810423853,1.21936742
1978-10-08,0.0,4.233221505,0.96824723
1978-10-09,4.972831278,5.363618153,0.79630996
1978-10-10,0.038668461,4.893745898,0.70018187
1978-10-11,18.06644295,3.597377393,0.59434897
1978-10-12,1.999865518,4.065164699,0.58023195
1978-10-13,0.3402152,4.491459322,0.61681339
1978-10-14,0.530464038,4.794082241,0.53261729
1978-10-15,1.049899142,4.924142641,0.46618081
1978-10-16,0.119771354,4.360995425,0.44906958
1978-10-17,0.0,4.513449891,0.41550079
1978-10-18,0.0,6.131136569,0.36322351
1978-10-19,0.0,8.032212629,0.32640221
1978-10-20,0.0,6.94014808,0.29435424
1978-10-21,0.0,4.718426471,0.26047733
1978-10-22,0.0,3.979690672,0.23693463
1978-10-23,0.552656364,4.432952317,0.22114971
1978-10-24,0.226630803,4.789845464,0.21654692
1978-10-25,0.135843985,3.579623446,0.20939826
1978-10-26,5.871217293,3.606725086,0.2005224
1978-10-27,0.270410226,4.337659872,0.20553453
1978-10-28,0.0,6.497780769,0.2078408
1978-10-29,0.0,6.733288668,0.19081787
1978-10-30,0.0,6.680968534,0.17110886
1978-10-31,0.0,7.590854113,0.15766025
1978-11-01,0.0,9.025891228,0.14652794
1978-11-02,0.0,5.948016225,0.13988851
1978-11-03,4.669872319,3.779421632,0.13329889
1978-11-04,17.1341631,3.480766665,0.21776516
1978-11-05,0.115400136,4.40295907,0.28939114
1978-11-06,0.0,3.409347742,0.23970032
1978-11-07,11.42051125,4.740282677,0.21771508
1978-11-08,0.0,5.541358491,0.29785714
1978-11-09,0.0,5.96334906,0.29557196
1978-11-10,0.0,5.421452664,0.21705614
1978-11-11,0.0,6.498924013,0.17663021
1978-11-12,0.0,7.302891916,0.1491737
1978-11-13,0.0,7.14895771,0.1306331
1978-11-14,0.0,7.193476883,0.11474829
1978-11-15,0.006590451,5.405581846,0.10556273
1978-11-16,0.0,6.334969895,0.09800474
1978-11-17,1.5905851,4.099058422,0.09297575
1978-11-18,0.011432414,7.345326308,0.08858461
1978-11-19,0.0,7.20827179,0.08526595
1978-11-20,0.0,7.963080145,0.08071402
1978-11-21,0.0,9.660726435,0.07300448
1978-11-22,0.0,10.75117702,0.06768582
1978-11-23,0.259246808,11.01076005,0.06111518
1978-11-24,15.78211193,3.696570327,0.05501898
1978-11-25,4.422932138,4.486146618,0.06231128
1978-11-26,0.030060525,5.459986588,0.12099842
1978-11-27,0.158238066,5.132481535,0.13401766
1978-11-28,0.172360461,4.781842844,0.10890749
1978-11-29,0.03207801,6.324277236,0.09441249
1978-11-30,0.0,5.573503754,0.09306563
1978-12-01,1.385675872,4.261062615,0.08588297
1978-12-02,9.261869703,4.73853421,0.083403
1978-12-03,1.009280451,4.200739836,0.09771218
1978-12-04,0.06946873,5.394082147,0.10470427
1978-12-05,0.0,8.73490251,0.09809172
