Date,Pptn,PET,cum_effective_storage_mm,cum_designed_spill_cap_mm,cum_res_cat_area_km2,streamflow_mm
1980-01-01,0.0,2.3487403,76.61107675,42.304030254000004,1407.0994742750001,0.0077534372146252
1980-01-02,0.0,2.2597716,76.61107675,42.304030254000004,1407.0994742750001,0.0097225641262761
1980-01-03,0.0033857885853096,1.6436788,76.61107675,42.304030254000004,1407.0994742750001,0.0093533528303415
1980-01-04,0.0685678379197859,1.4904345,76.61107675,42.304030254000004,1407.0994742750001,0.0111994093100142
1980-01-05,0.1428078544992988,1.2982255,76.61107675,42.304030254000004,1407.0994742750001,0.0116916910379269
1980-01-06,0.7446987281382216,1.8821357,76.61107675,42.304030254000004,1407.0994742750001,0.011076338878036
1980-01-07,0.0,2.2489183,76.61107675,42.304030254000004,1407.0994742750001,0.0104609867181452
1980-01-08,0.0,2.2912307,76.61107675,42.304030254000004,1407.0994742750001,0.0093533528303415
1980-01-09,0.0,2.3275125,76.61107675,42.304030254000004,1407.0994742750001,0.0092302823983634
1980-01-10,0.0,2.3784475,76.61107675,42.304030254000004,1407.0994742750001,0.0105840571501233
1980-01-11,0.0,2.4405038,76.61107675,42.304030254000004,1407.0994742750001,0.008984141534407
1980-01-12,0.0,2.4648302,76.61107675,42.304030254000004,1407.0994742750001,0.0087380006704506
1980-01-13,0.0,2.2515516,76.61107675,42.304030254000004,1407.0994742750001,0.0073842259186907
1980-01-14,0.0,2.2928574,76.61107675,42.304030254000004,1407.0994742750001,0.0049228172791271
1980-01-15,0.0,2.3901222,76.61107675,42.304030254000004,1407.0994742750001,0.0030767607994544
1980-01-16,0.0,2.4332917,76.61107675,42.304030254000004,1407.0994742750001,0.0006153521598908
1980-01-17,0.0,2.5440629,76.61107675,42.304030254000004,1407.0994742750001,0.0004922817279127
1980-01-18,0.0,2.548645,76.61107675,42.304030254000004,1407.0994742750001,0.0004922817279127
1980-01-19,0.0,2.4815009,76.61107675,42.304030254000004,1407.0994742750001,0.0002461408639563
1980-01-20,0.0,2.6161685,76.61107675,42.304030254000004,1407.0994742750001,0.0003692112959345
1980-01-21,0.0,2.6200113,76.61107675,42.304030254000004,1407.0994742750001,0.0003692112959345
1980-01-22,0.0,2.4699159,76.61107675,42.304030254000004,1407.0994742750001,0.0003692112959345
1980-01-23,0.0,2.3534696,76.61107675,42.304030254000004,1407.0994742750001,0.0003692112959345
1980-01-24,0.0,2.4727323,76.61107675,42.304030254000004,1407.0994742750001,0.0003692112959345
1980-01-25,0.0,2.5299017,76.61107675,42.304030254000004,1407.0994742750001,0.0003692112959345
1980-01-26,0.0,2.6225615,76.61107675,42.304030254000004,1407.0994742750001,0.0004922817279127
1980-01-27,0.0,2.6141527,76.61107675,42.304030254000004,1407.0994742750001,0.0004922817279127
1980-01-28,0.0,2.549692,76.61107675,42.304030254000004,1407.0994742750001,0.0004922817279127
1980-01-29,0.0,2.5757902,76.61107675,42.304030254000004,1407.0994742750001,0.0004922817279127
1980-01-30,0.0,2.4873445,76.61107675,42.304030254000004,1407.0994742750001,0.0006153521598908
1980-01-31,0.0,2.5486333,76.61107675,42.304030254000004,1407.0994742750001,0.0003692112959345
1980-02-01,0.0,2.5613592,76.61107675,42.304030254000004,1407.0994742750001,0.0003692112959345
1980-02-02,0.0,2.4143329,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-03,0.0,2.693001,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-04,0.0,2.5149658,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-05,0.4054709883327501,2.448625,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-06,0.0,2.693688,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-07,0.0,2.6797009,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-08,0.0038058503058432,2.6699717,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-09,0.0,2.755626,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-10,0.0243627290429853,2.2139928,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-11,0.0,2.7879655,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-12,0.0,2.8130527,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-13,0.0,2.840123,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-14,0.0037161249171002,2.9878027,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-15,0.0622349079902337,2.5501587,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-16,0.3089306145949734,2.8764787,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-17,0.0,2.9462519,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-18,0.0,2.9967368,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-19,0.0,3.0583417,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-20,0.0,3.0663512,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-21,0.0,3.105073,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-22,0.0,3.1440141,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-23,0.0,3.1478033,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-24,0.0,3.1872427,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-25,0.0,3.081491,76.61107675,42.304030254000004,1407.0994742750001,0.0
1980-02-26,0.0,3.057865,76.61107675,42.304030254000004,1407.0994742750001,0.0
