gauge_id,reservoir_cat_area_km2,total_cat_area_km2,warm_up_cal_start,warm_up_cal_end,cal_start,cal_end,warm_up_val_start,warm_up_val_end,val_start,val_end,effective_res_storage_mm
50011,16.589986,80.17,1994-01-01,1996-12-31,1997-01-01,2006-12-31,2007-01-01,2009-12-31,2010-01-01,2014-12-31,39.5409754272172
75003,29.751446,363.04,1994-01-01,1996-12-31,1997-01-01,2006-12-31,2007-01-01,2009-12-31,2010-01-01,2014-12-31,112.147421771706
